repository,number,author,isApprove
"microsoft/Typescript",57966,"andrewbranch",false
"microsoft/Typescript",57966,"jakebailey",true
"microsoft/Typescript",57969,"sandersn",true
"microsoft/Typescript",57974,"DanielRosenwasser",true
"microsoft/Typescript",57974,"dragomirtitian",false
"microsoft/Typescript",57974,"jakebailey",false
"microsoft/Typescript",57974,"weswigham",true
"microsoft/Typescript",57977,"ahejlsberg",false
"microsoft/Typescript",57977,"jakebailey",true
"microsoft/Typescript",58001,"Andarist",false
"microsoft/Typescript",58001,"ahejlsberg",true
"microsoft/Typescript",58001,"moataz2002",false
"microsoft/Typescript",58004,"RyanCavanaugh",true
"microsoft/Typescript",58007,"DanielRosenwasser",true
"microsoft/Typescript",58007,"jakebailey",true
"microsoft/Typescript",58007,"sheetalkamat",false
"microsoft/Typescript",58008,"Andarist",false
"microsoft/Typescript",58008,"weswigham",true
"microsoft/Typescript",58010,"DanielRosenwasser",true
"microsoft/Typescript",58010,"andrewbranch",true
"microsoft/Typescript",58010,"sandersn",false
"microsoft/Typescript",58013,"jakebailey",true
"microsoft/Typescript",58013,"weswigham",true
"microsoft/Typescript",58036,"DanielRosenwasser",true
"microsoft/Typescript",58036,"sheetalkamat",true
"microsoft/Typescript",58036,"weswigham",true
"microsoft/Typescript",58037,"sheetalkamat",true
"microsoft/Typescript",58038,"sheetalkamat",true
"microsoft/Typescript",58039,"jakebailey",true
"microsoft/Typescript",58041,"andrewbranch",true
"microsoft/Typescript",58041,"weswigham",true
"microsoft/Typescript",58042,"andrewbranch",true
"microsoft/Typescript",58042,"jakebailey",true
"microsoft/Typescript",58042,"sheetalkamat",false
"microsoft/Typescript",58042,"weswigham",false
"microsoft/Typescript",58045,"jakebailey",false
"microsoft/Typescript",58045,"rbuckton",true
"microsoft/Typescript",58045,"weswigham",false
"microsoft/Typescript",58049,"Andarist",false
"microsoft/Typescript",58049,"andrewbranch",true
"microsoft/Typescript",58049,"jakebailey",true
"microsoft/Typescript",58049,"sandersn",false
"microsoft/Typescript",58057,"jakebailey",false
"microsoft/Typescript",58057,"sheetalkamat",true
"microsoft/Typescript",58057,"weswigham",true
"microsoft/Typescript",58058,"andrewbranch",true
"microsoft/Typescript",58058,"jakebailey",false
"microsoft/Typescript",58058,"sheetalkamat",true
"microsoft/Typescript",58059,"andrewbranch",true
"microsoft/Typescript",58059,"jakebailey",false
"microsoft/Typescript",58059,"sheetalkamat",true
"microsoft/Typescript",58061,"Andarist",false
"microsoft/Typescript",58061,"DanielRosenwasser",true
"microsoft/Typescript",58061,"jakebailey",true
"microsoft/Typescript",58063,"jakebailey",true
"microsoft/Typescript",58063,"weswigham",false
"microsoft/Typescript",58066,"jakebailey",true
"microsoft/Typescript",58067,"jakebailey",true
"microsoft/Typescript",58067,"weswigham",false
"microsoft/Typescript",58069,"rbuckton",true
"microsoft/Typescript",58075,"dragomirtitian",false
"microsoft/Typescript",58075,"jakebailey",true
"microsoft/Typescript",58075,"weswigham",false
"microsoft/Typescript",58078,"jakebailey",true
"microsoft/Typescript",58079,"jakebailey",true
